,0
0,0
1,2
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,1
13,2
14,2
15,2
16,1
17,1
18,1
19,0
20,0
21,1
22,2
23,0
24,0
25,0
26,2
27,2
28,1
29,2
30,0
31,1
32,1
33,1
34,2
35,0
36,1
37,1
38,2
39,0
40,1
41,0
42,0
43,2
44,2
45,1
46,1
47,0
48,1
49,0
50,2
51,1
52,1
53,2
54,0
55,0
56,0
57,2
58,0
59,0
60,1
61,2
62,1
63,0
64,2
65,1
66,0
67,2
68,1
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,2
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,2
86,2
87,0
88,1
89,2
90,2
91,1
92,1
93,0
94,1
95,2
96,2
97,1
98,2
99,1
100,1
101,1
102,0
103,0
104,2
105,0
106,2
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,2
118,1
119,1
120,1
121,2
122,2
123,1
124,0
125,0
126,1
127,2
128,2
129,0
130,1
131,2
132,2
133,2
134,2
135,1
136,0
137,1
138,0
139,2
140,0
141,0
142,1
143,0
144,0
145,2
146,1
147,0
148,2
149,2
150,0
151,0
152,2
153,2
154,2
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,0
163,1
164,1
165,0
166,1
167,1
